release_year,genre,count
1932,Action,1
1933,Comedy,1
1934,Comedy,1
1935,Adventure,1
1938,Drama,1
1941,Adventure,1
1944,Documentary,1
1945,Documentary,2
1946,Drama,3
1947,Crime,1
1948,Film-Noir,2
1950,Drama,3
1952,Crime,1
1953,Western,2
1954,Crime,2
1955,Crime,1
1956,Drama,5
1957,Horror,1
1958,Drama,2
1959,Comedy,1
1960,Drama,3
1961,Drama,3
1962,Adventure,2
1963,Comedy,1
1964,Adventure,2
1965,Adventure,2
1966,Action,4
1967,Drama,2
1968,Adventure,2
1969,Comedy,4
1970,Crime,2
1971,Musical,2
1972,Comedy,2
1973,Drama,6
1974,Drama,3
1975,Comedy,5
1976,Crime,2
1977,Action,4
1978,Comedy,4
1979,Comedy,3
1980,Comedy,3
1981,Adventure,1
1982,Comedy,3
1983,Comedy,1
1984,Adventure,2
1985,Comedy,2
1986,Adventure,2
1987,Comedy,3
1988,Comedy,2
1989,Comedy,5
1990,Comedy,4
1991,Animation,2
1992,Comedy,4
1993,Drama,8
1994,Drama,5
1995,Action,6
1996,Comedy,8
1997,Animation,12
1998,Romance,7
1999,Comedy,7
2000,Drama,7
2001,Drama,12
2002,Adventure,99
2003,Action,11
2004,Action,73
2005,Action,117
2006,Drama,46
2007,Drama,38
2008,Drama,23
2009,Drama,30
2010,Drama,48
2011,Drama,68
2012,Drama,71
2013,Drama,108
2014,Drama,175
2015,Drama,222
2016,Drama,287
2017,Drama,329
2018,Drama,392
2019,Drama,559
2020,Drama,625
2021,Drama,404
2022,Drama,328
2023,Adventure,19
2024,Drama,4
2025,Adventure,1
